Id,Title,Name,Price,Image
799828756,Revasser,Unisex Kadın/Erkek,"124,90 TL",https://cdn.dsmcdn.com/ty1148/product/media/images/prod/SPM/PIM/20240124/17/656ba397-bb34-3e1b-be40-a818491f7483/1_org.jpg
830470456,Teenage Millionaire,Kadın,"199,90 TL",https://cdn.dsmcdn.com/ty1321/product/media/images/prod/QC/20240520/09/33f063c1-da6f-364a-bbfc-a456965ef2f8/1_org.jpg
650646343,Favorim50ton,Grunge Karikatür,124 TL,https://cdn.dsmcdn.com/ty1323/product/media/images/prod/QC/20240516/16/8d97e87a-295e-3739-aef6-55bf539cda68/1_org.jpg
737253228,trendgar,siyah good luck,"123,90 TL",https://cdn.dsmcdn.com/ty952/product/media/images/20230617/23/386501949/969796250/1/1_org.jpg
83713116,Under Armour,Live Sportstyle,520 TL,https://cdn.dsmcdn.com/ty70/product/media/images/20210216/15/63343635/140928535/1/1_org.jpg
696118489,GRIMELANGE,Jemmy Kadın,"249,99 TL",https://cdn.dsmcdn.com/ty1158/product/media/images/prod/SPM/PIM/20240130/22/2bc0412a-9bc5-3780-952d-1af3d72638a2/1_org.jpg
816385398,trendypassion,Unisex,"176,36 TL",https://cdn.dsmcdn.com/ty1328/product/media/images/prod/QC/20240524/15/a0b6e432-c15d-3a08-ad00-4f27b0225484/1_org.jpg
824852063,Teenage Millionaire,Kadın,185 TL,https://cdn.dsmcdn.com/ty1318/product/media/images/prod/QC/20240517/11/7e099fb7-0bf1-3027-b51b-e101d5573e99/1_org.jpg
679441155,Dilvin,30124 Crop,268 TL,https://cdn.dsmcdn.com/ty1323/product/media/images/prod/QC/20240522/10/386182e3-3cb3-320d-b7f6-19858773365c/1_org.jpg
806444937,Evomind,Kelebek Baskılı,"49,90 TL",https://cdn.dsmcdn.com/ty1171/product/media/images/prod/SPM/PIM/20240216/09/3a8e8eb8-ce94-3b35-a4ab-4c8f2935673b/1_org.jpg
798196758,Calvin Klein,Bright White,"1.330,99 TL",https://cdn.dsmcdn.com/ty1331/product/media/images/prod/QC/20240517/09/f7e63ce7-a050-37e4-abb5-ceda2737488c/1_org.jpg
689281085,Hunors Sportswear & Company,,124 TL,https://cdn.dsmcdn.com/ty829/product/media/images/20230415/19/325595907/911983945/1/1_org.jpg
809635273,uyguntarz,Unisex Arizona,"124,90 TL",https://cdn.dsmcdn.com/ty1185/product/media/images/prod/SPM/PIM/20240228/11/cbb62acf-b15c-3c65-b693-c846d22a2ffb/1_org.jpg
831498834,Seçkin Butik,First Chance,549 TL,https://cdn.dsmcdn.com/ty1323/product/media/images/prod/QC/20240522/22/18f990f7-d116-3fc9-85d7-705009a8eacd/1_org.jpg
98112488,U.S. Polo Assn.,Lacivert,549 TL,https://cdn.dsmcdn.com/ty109/product/media/images/20210504/10/85450574/163295101/1/1_org.jpg
821818285,DUBU BUTİK,Beyaz Oversize,"107,91 TL",https://cdn.dsmcdn.com/ty1255/product/media/images/prod/SPM/PIM/20240413/15/c92bf69e-577d-308d-a7f5-01a05807da12/1_org.jpg
828628625,GHAND,ÇİFTLERE ÖZEL ATEŞ ve,"499,90 TL",https://cdn.dsmcdn.com/ty1311/product/media/images/prod/SPM/PIM/20240513/12/55009ea0-2833-3b45-a51b-a0e7d1b4485c/1_org.jpg
641001744,Mavi,Logo Baskılı Pembe,"299,99 TL",https://cdn.dsmcdn.com/ty1168/product/media/images/prod/SPM/PIM/20240212/03/364035bb-1f3f-3ccf-9525-cb3ed4aec0b9/1_org.jpg
87033502,Dilvin,Kadın  Beyaz Basic,237 TL,https://cdn.dsmcdn.com/ty986/product/media/images/20230812/14/402603955/145664586/1/1_org.jpg
809069363,Ltb,Logolu Siyah T-shırt,"279,99 TL",https://cdn.dsmcdn.com/ty1190/product/media/images/prod/SPM/PIM/20240302/04/406300bd-4491-3dd0-93ff-b37a72725a46/1_org.jpg
